Publications,Descriptions
2024,"A. Hernández-Escobar, T. Tomura, R. Hasaba, H. Taneda, and I. Watanabe
An Inverted-L Monopole Array With High Beam Coverage for Antenna-in-Package Modules at the 151.5–164 GHz Band
IEEE Access, vol. 12, pp. 107144-107152, Aug. 2024"
2023,"M. Pérez-Escribano and E. Márquez-Segura
Performance Evaluation of Broadband Characterization of Coupled Transmission Lines Even- and Odd-Mode Propagation Constants Using Differential and Common Mode S-Parameters
IEEE Journal of Microwaves, vol. 3, no. 2, pp. 676-686, April 2023 
doi: 10.1109/JMW.2022.3232306"
2023,"M. Pérez-Escribano, E. Márquez-Segura and J.J. Sánchez-Martínez
Analytical Design of Compact Multiband Bandpass Filters with Multiconductor Transmission Lines and Shunt Open Stubs
Electronics, 2023 
doi: 10.3390/electronics12081945"
2023,"M. Pérez-Escribano, S. Moreno-Rodríguez, C. Molero, J. F. Valenzuela-Valdés, P. Padilla and A. Alex-Amor
Analytical Framework to Model Reconfigurable Metasurfaces including Lumped Elements
IEEE Transactions on Circuits and Systems II: Express Briefs, 2023 
doi: 10.1109/TCSII.2023.3330318"
2023,"T. Lira Valdés, E. Rajo Iglesias an d F. Pizarro
3 D Printed Spiral Leaky Wave Antenna With Circular Polarization
IEEE Open Journal of Antennas and Propagation, v ol . 4, pp. 427433, 2023
doi: 10.1109/OJAP.2023.3264739"
2022,"M. Pérez-Escribano and E. Márquez-Segura
End-Launcher Repeatability in Broadband Methods for Characterization of the Propagation Constant of Transmission Lines Using Two-Port Measurements
IEEE Transactions on Instrumentation and Measurement, vol. 71, pp. 1-4, 2022, Art no. 8003104
doi: 10.1109/TIM.2022.3169158"
2022,"A. Hernández-Escobar, J. Esteban, E. Abdo-Sánchez, T. M. Martín-Guerrero, and C. Camacho-Peñalosa
Equivalent-circuit modeling of lossless and lossy bi-periodic scatterers by an eigenstate approach
IEEE Transactions on Antennas and Propagation, vol. 70, no. 12, pp. 11790-11800, Dec. 2022"
2022,"A. Hernández-Escobar, E. Abdo-Sánchez, and C. Camacho-Peñalosa
Leaky-wave antenna with continuous backward-to-forward frequency scanning using strip-fed cavity-backed slots
Journal of Electromagnetic Waves and Applications, vol. 36, no. 2, pp. 155-167, Feb. 2022"
2021,"M. Pérez-Escribano and E. Márquez-Segura
Parameters Characterization of Dielectric Materials Samples in Microwave and Millimeter-Wave Bands
IEEE Transactions on Microwave Theory and Techniques, vol. 69, no. 3, pp. 1723-1732, March 2021
doi: 10.1109/TMTT.2020.3045211"
2021,"M. Pérez-Escribano and E. Márquez-Segura
Random Errors in Broadband Characterization of the Propagation Constant of Transmission Lines Using Multiple Two-Port Measurements
IEEE Access, vol. 9, pp. 59038-59047, 2021
doi: 10.1109/ACCESS.2021.3073173"
2021,"Enrique Márquez Segura, San Hi Shin, Attique Dawood, Nick Ridler, Stepan Lucyszyn
Microwave Characterization of Conductive PLA and Its Application to a 12 to 18 GHz 3-D Printed Rota-ry Vane Attenuator
IEEE Access, Vol. 7, pp. 24071-24081
DOI: 10.1109/ACCESS.2018.2886657"
2021,"A. Hernández-Escobar, E. Abdo-Sánchez, P. Mateos-Ruiz, J. Esteban, T. María Martín-Guerrero and C. Camacho-Peñalosa
An Equivalent-Circuit Topology for Lossy Non- Symmetric Reciprocal Two-Ports
IEEE Journal of Microwaves, pp. 1-11, 2021
DOI: 10.1109/JMW.2021.3085408"
2020,"Adam Jones, Stepan Luzyscyn, Enrique Márquez Segura, Nick Ridler, James Skinner, Daniel Stokes
3-D printed primary standards for calibration of microwave network analysers
Measurement: Journal of the International Measurement Confederation, Vol. 158
DOI: 10.1016/J.MEASUREMENT.2020.107682"
2020,"A. Hernández-Escobar, E. Abdo-Sánchez, J. Esteban, T. M. Martín-Guerrero, and C. Camacho-Peñalosa
Broadband determination of the propagation constant of the slot mode of a rectangular waveguide
IEEE Antennas and Wireless Propagation Letters, vol. 19, no. 12, pp. 2423-2427, Dec. 2020"
2020,"A. Hernández-Escobar, E. Abdo-Sánchez, J. Esteban, T. M. Martín-Guerrero, and C. Camacho-Peñalosa
Broadband determination of the even- and odd-mode propagation constants of coupled lines based on two-port measurements
IEEE Transactions on Microwave Theory and Techniques, vol. 68, no. 2, pp. 648-654, Feb. 2020"
2020,"T.M. Martin-Guerrero, A. Santarelli, G.P. Gibiino, P.A. Traverso, C. Camacho-Peñalosa, F. Filicori
Automatic Extraction of Measurement-Based Large-Signal FET Models by Nonlinear Function Sampling
IEEE Transactions on Microwave Theory and Techniques, 68(5), 1627-1636
https://doi.org/10.1109/TMTT.2020.2968886"
2020,"T.M. Martin-Guerrero, A. Santarelli, G.P. Gibiino, P.A. Traverso, C. Camacho-Peñalosa, F. Filicori
Measurement-Based FET Analytical Modeling Using the Nonlinear Function Sampling Approach""
IEEE Microwave and Wireless Components Letters, 30(12), 1145-1148
https://doi.org/10.1109/LMWC.2020.3027989"
2020,"J. Muñoz-Enano, P. Velez, M.G. Barba, J. Mata-Contreras, F. Martin
Differential-Mode to Common-Mode Conversion Detector Based on Rat-Race Hybrid Couplers: Analysis and Application to Differential Sensors and Comparators
IEEE Transactions on Microwave Theory and Techniques, 68(4), 1312-1325
https://doi.org/10.1109/TMTT.2019.2955676"
2019,"J. J. Sánchez-Martínez, M. Pérez-Escribano and E. Márquez-Segura
Synthesis of Dual-Band Bandpass Filters With Short-Circuited Multiconductor Transmission Lines and Shunt Open Stubs
IEEE Access, vol. 7, pp. 24071-24081, 2019
doi: 10.1109/ACCESS.2018.2886657"
2019,"A. Hernández-Escobar, E. Abdo-Sánchez, and C. Camacho-Peñalosa
A wideband equivalent circuit for stripline-fed cavity-backed slot radiating elements
IEEE Access, vol. 7, pp. 166428-166434, Nov. 2019"
2019,"E. Abdo-Sanchez, M. Chen, A. Epstein, G.V. Eleftheriades
A Leaky-Wave Antenna with Controlled Radiation Using a Bianisotropic Huygens' Metasurface
IEEE Transactions on Antennas and Propagation, 67(1), 108-120
https://doi.org/10.1109/TAP.2018.2878082"
2019,"E. Abdo-Sánchez, A. Epstein, G.V. Eleftheriades
Reconfigurability mechanisms with scanning rate control for omega-bianisotropic huygens' metasurface leaky-wave antennas
IEEE Access, 7, 168247-168260
https://doi.org/10.1109/ACCESS.2019.2953779"
2019,"C. Herrojo, F. Paredes, J. Mata-Contreras, F. Martín
Chipless-RFID: A review and recent developments [Review of Chipless-RFID: A review and recent developments]
Sensors (Switzerland), 19(15). MDPI AG
https://doi.org/10.3390/S19153385"
2019,"P. Vélez, J. Muñoz-Enano, M. Gil, J. Mata-Contreras, F. Martín
Differential microfluidic sensors based on dumbbell-shaped defect ground structures in microstrip technology: Analysis, optimization, and applications
Sensors (Switzerland), 19(14)
https://doi.org/10.3390/S19143189"
2019,"J. Havlicek, C. Herrojo, F. Paredes, J., Mata-Contreras, F. Martin
Enhancing the Per-Unit-Length Data Density in Near-Field Chipless-RFID Systems with Sequential Bit Reading
IEEE Antennas and Wireless Propagation Letters, 18(1), 89-92
https://doi.org/10.1109/LAWP.2018.2881356"
2019,"C. Herrojo, F. Muela, J. Mata-Contreras, F., Paredes, F. Martin
High-Density Microwave Encoders for Motion Control and Near-Field Chipless-RFID
IEEE Sensors Journal, 19(10), 3673-3682
https://doi.org/10.1109/JSEN.2019.2895015"
2019,"P. Vélez, J. Muñoz-Enano, K. Grenier, J. Mata-Contreras, D. Dubuc, F. Martín
Split Ring Resonator-Based Microwave Fluidic Sensors for Electrolyte Concentration Measurements
IEEE Sensors Journal, 19(7), 2562-2569
https://doi.org/10.1109/JSEN.2018.2890089"
2019,"C. Herrojo, M. Moras, F. Paredes,A. Nuñez, J. Mata-Contreras, E. Ramón, F. Martín
Time-Domain-Signature Chipless RFID Tags: Near-Field Chipless-RFID Systems with High Data Capacity
IEEE Microwave Magazine, 20(12), 87-101
https://doi.org/10.1109/MMM.2019.2941634"
2018,"A. Hernández-Escobar, E. Abdo-Sánchez, and C. Camacho-Peñalosa
A broadband cavity-backed slot radiating element in transmission configuration
IEEE Transactions on Antennas and Propagation, vol. 66, no. 12, pp. 7389-7394, Dec. 2018"
2018,"M. Chen, E. Abdo-Sánchez, A. Epstein, G.V. Eleftheriades
Theory, design, and experimental verification of a reflectionless bianisotropic Huygens' metasurface for wide-angle refraction
Physical Review B, 97(12)
https://doi.org/10.1103/PHYSREVB.97.125433"
2018,"L. Su, J. Mata-Contreras, P. Vélez, A. Fernández-Prieto, F. Martín
Analytical method to estimate the complex permittivity of oil samples
Sensors (Switzerland), 18(4)
https://doi.org/10.3390/S18040984"
2018,"J. Mata-Contreras, C. Herrojo, F. Martin
Detecting the Rotation Direction in Contactless Angular Velocity Sensors Implemented with Rotors Loaded with Multiple Chains of Resonators
IEEE Sensors Journal, 18(17), 7055-7065
https://doi.org/10.1109/JSEN.2018.2853643"
2018,"P. Vélez, K. Grenier, J. Mata-Contreras, D. Dubuc, F. Martín
Highly-sensitive microwave sensors based on Open Complementary Split Ring Resonators (OCSRRs) for dielectric characterization and solute concentration measurement in liquids
IEEE Access, 6, 48324-48338
https://doi.org/10.1109/ACCESS.2018.2867077"
2018,"C. Herrojo, J. Mata-Contreras, F. Paredes, A. Núñez, E. Ramón, F. Martín
Near-Field Chipless-RFID System with Erasable/Programmable 40-bit Tags Inkjet Printed on Paper Substrates
IEEE Microwave and Wireless Components Letters, 28(3), 272-274
https://doi.org/10.1109/LMWC.2018.2802718"
2018,"F. Paredes, C. Herrojo, J. Mata-Contreras, M. Moras, A. Núñez,E. Ramón, F. Martín
Near-field chipless radio-frequency identification (RFID) sensing and identification system with switching reading
Sensors (Switzerland), 18(4)
https://doi.org/10.3390/S18041148"
2018,"C. Herrojo, J. Mata-Contreras, F. Paredes, A. Núñez, E. Ramon, F. Martín
Near-field chipless-RFID tags with sequential bit reading implemented in plastic substrates
Journal of Magnetism and Magnetic Materials, 459, 322-327
https://doi.org/10.1016/J.JMMM.2017.10.005"
2018,"C. Herrojo, M. Moras, F. Paredes, A. Núñez, E. Ramon, J. Mata-Contreras, F. Martín
Very Low-Cost 80-Bit Chipless-RFID Tags Inkjet Printed on Ordinary Paper
Technologies, 6(2)
https://doi.org/10.3390/TECHNOLOGIES6020052"
2017,"E. Abdo-Sánchez, C. Camacho-Peñalosa, T.M. Martín-Guerrero, J. Esteban
Equivalent Circuits for Nonsymmetric Reciprocal Two Ports Based on Eigenstate Formulation
IEEE Transactions on Microwave Theory and Techniques, 65(12), 4812-4822
https://doi.org/10.1109/TMTT.2017.2708103"
2017,"L. Su, J. Mata-Contreras, P. Vélez, F. Martín
A Review of Sensing Strategies for Microwave Sensors Based on Metamaterial-Inspired Resonators: Dielectric Characterization, Displacement, and Angular Velocity Measurements for Health Diagnosis, Telecommunication, and Space Applications 
International Journal of Antennas and Propagation, 2017. Hindawi Limited 
https://doi.org/10.1155/2017/5619728"
2017,"J. Mata-Contreras, C. Herrojo, F. Martin
Application of Split Ring Resonator (SRR) Loaded Transmission Lines to the Design of Angular Displacement and Velocity Sensors for Space Applications
IEEE Transactions on Microwave Theory and Techniques, 65(11), 4450-4460
https://doi.org/10.1109/TMTT.2017.2693981"
2017,"C. Herrojo, J. Mata-Contreras, F. Paredes, F. Martin
High data density and capacity in chipless radiofrequency identification (chipless-RFID) tags based on double-chains of S-shaped split ring resonators (S-SRRs)
EPJ Applied Metamaterials, 4
https://doi.org/10.1051/EPJAM/2017008"
2017,"C. Herrojo, J. Mata-Contreras, F. Paredes, F. Martin
Microwave Encoders for Chipless RFID and Angular Velocity Sensors Based on S-Shaped Split Ring Resonators
IEEE Sensors Journal, 17(15), 4805-4813
https://doi.org/10.1109/JSEN.2017.2715982"
2017,"P. Velez, L. Su, K. Grenier, J. Mata-Contreras, D. Dubuc, F. Martin
Microwave Microfluidic Sensor Based on a Microstrip Splitter/Combiner Configuration and Split Ring Resonators (SRRs) for Dielectric Characterization of Liquids
IEEE Sensors Journal, 17(20), 6589-6598
https://doi.org/10.1109/JSEN.2017.2747764"
2017,"C. Herrojo, F. Paredes, J. Mata-Contreras, S. Zuffanelli, F. Martin
Multistate Multiresonator Spectral Signature Barcodes Implemented by Means of S-Shaped Split Ring Resonators (S-SRRs)
IEEE Transactions on Microwave Theory and Techniques, 65(7), 2341-2352
https://doi.org/10.1109/TMTT.2017.2672547"
2017,"C. Herrojo, J. Mata-Contreras, A. Núñez, F. Paredes, E. Ramón, F. Martín
Near-Field Chipless-RFID System with High Data Capacity for Security and Authentication Applications
IEEE Transactions on Microwave Theory and Techniques, 65(12), 5298-5308
https://doi.org/10.1109/TMTT.2017.2768029"
2016,"E. Abdo-Sánchez, D. Palacios-Campos, C. Frías-Heras, F.Y. Ng-Molina, T.M. Martín-Guerrero, C. Camacho-Peñalosa
Electronically Steerable and Fixed-Beam Frequency-Tunable Planar Traveling-Wave Antenna
IEEE Transactions on Antennas and Propagation, 64(4), 1298-1306
https://doi.org/10.1109/TAP.2016.2521895"
2016,"E. Abdo-Sánchez, T.M. Martín-Guerrero,J. Esteban, C. Camacho-Peñalosa
Short dual-band planar leaky-wave antenna with broadside effect mitigation
IET Microwaves, Antennas and Propagation, 10(5), 574-578
https://doi.org/10.1049/IET-MAP.2015.0741"
2016,"L. Su, J. Naqui, J. Mata-Contreras, P. Vélez, F. Martín
Configurations of splitter/combiner microstrip sections loaded with stepped impedance resonators (SIRs) for sensing applications
Sensors (Switzerland), 16(12)
https://doi.org/10.3390/S16122195"
2016,"J. Naqui, L. Su, J. Mata-Contreras, F. Martín
Coplanar waveguides loaded with symmetric and asymmetric pairs of slotted stepped impedance resonators: Modeling, applications, and comparison to SIR-loaded CPWS
Microwave and Optical Technology Letters, 58(11), 2741-2745
https://doi.org/10.1002/MOP.30134"
2016,"L. Su, J. Naqui, J. Mata-Contreras, F. Martín
Coplanar waveguides loaded with symmetric and asymmetric multisection stepped impedance resonators: Modeling and potential applications
Microwave and Optical Technology Letters, 58(3), 722-726
https://doi.org/10.1002/MOP.29658"
2016,"Vélez, Valero, Su, Naqui, Mata-Contreras, Bonache, & Martín
Enhancing common-mode suppression in microstrip differential lines by means of chirped and multi-tuned electromagnetic bandgaps
Microwave and Optical Technology Letters, 58(2), 328-332
https://doi.org/10.1002/MOP.29552"
2016,"L. Su, J. Naqui, J. Mata-Contreras, F. Martin
Miniature microwave notch filters and comparators based on transmission lines loaded with stepped impedance resonators (SIRs)
[Review of Miniature microwave notch filters and comparators based on transmission lines loaded with stepped impedance resonators (SIRs)]. Micromachines, 7(1). MDPI
https://doi.org/10.3390/MI7010001"
2016,"L. Su, J. Naqui, J. Mata-Contreras, F. Martín
Modeling and Applications of Metamaterial Transmission Lines Loaded with Pairs of Coupled Complementary Split-Ring Resonators (CSRRs)
IEEE Antennas and Wireless Propagation Letters, 15, 154-157
https://doi.org/10.1109/LAWP.2015.2435656"
2016,"L. Su, J. Naqui, J. Mata-Contreras, P. Velez, F. Martin
Splitter/combiner microstrip sections loaded with pairs of Complementary Split Ring Resonators (CSRRs): Modeling and optimization for differential sensing applications
IEEE Transactions on Microwave Theory and Techniques, 64(12), 4362-4370
https://doi.org/10.1109/TMTT.2016.2623311"
2016,"J. Naqui, C. Damm, A. Wiens, R. Jakoby, L. Su, J. Mata-Contreras, F. Martín
Transmission Lines Loaded With Pairs of Stepped Impedance Resonators: Modeling and Application to Differential Permittivity Measurements
IEEE Transactions on Microwave Theory and Techniques, 64(11), 3864-3877
https://doi.org/10.1109/TMTT.2016.2610423"
2015,"Juan José Sánchez Martínez, Enrique Márquez Segura, Stepan Lucyszyn
Synthesis and Design of High-Selectivity Wideband Quasi-Elliptic Bandpass Filters Using Multiconductor Transmission Lines
IEEE Transactions On Microwave Theory And Techniques
DOI: 10.1109/TMTT.2014.2375323 "
2015,"E. Abdo-Sánchez, T.M. Martín-Guerrero,J. Esteban, C. Camacho-Peñalosa
On the radiation properties of the complementary strip-slot element
IEEE Antennas and Wireless Propagation Letters, 14, 1389-1391
https://doi.org/10.1109/LAWP.2015.2407902"
2015,"E. Abdo-Sánchez, T.M. Martín-Guerrero,J. Esteban, C. Camacho-Peñalosa
Planar multiband sequentially rotated array with polarisation agility based on the complementary strip-slot element
Journal of Electromagnetic Waves and Applications, 29(4), 538-550
https://doi.org/10.1080/09205071.2015.1006734"
2015,"E. Jaime, C. Camacho-Peñalosa
Compact orthomode transducer polarizer based on a tilted-waveguide T-Junction
IEEE Transactions on Microwave Theory and Techniques, vol. 63, n.º 10, 2015, pp. 3208-17
https://doi.org/10.1109/TMTT.2015.2461540."
2015,"J. Naqui, L. Su, J. Mata, F. Martín
Analysis of transmission lines loaded with pairs of coupled resonant elements and application to sensors
Journal of Magnetism and Magnetic Materials, 383, 144-151
https://doi.org/10.1016/J.JMMM.2014.12.011"
2015,"L. Su, J. Naqui, J. Mata-Contreras, F Martín
Modeling metamaterial transmission lines loaded with pairs of coupled split-ring resonators
IEEE Antennas and Wireless Propagation Letters, 14, 68-71
https://doi.org/10.1109/LAWP.2014.2355035"
2015,"J. Naqui, L. Su, J. Mata, F. Martín
Recent Advances in the Modeling of Transmission Lines Loaded with Split Ring Resonators [Review of Recent Advances in the Modeling of Transmission Lines Loaded with Split Ring Resonators]
International Journal of Antennas and Propagation, 2015. Hindawi Limited
https://doi.org/10.1155/2015/792750"
2015,"J. Naqui, L. Su, J. Mata, F. Martín
Symmetry-related electromagnetic properties of resonator-loaded transmission lines and applications 
[Review of Symmetry-related electromagnetic properties of resonator-loaded transmission lines and applications]
Applied Sciences (Switzerland), 5(2), 88-113. MDPI AG
https://doi.org/10.3390/APP5020088"
2015,"P. Vélez, J. Naqui, A. Fernández-Prieto, J. Bonache, J. Mata-Contreras, J. Martel, F. Medina, F. Martín
Ultra-compact (80 mm 2) differential-mode ultra-wideband (UWB) bandpass filters with common-mode noise suppression
IEEE Transactions on Microwave Theory and Techniques, 63(4), 1272-1280
https://doi.org/10.1109/TMTT.2015.2401555"
